Séance,Instrument,Ticker,Ouverture,Dernier_Cours,+haut_du_jour,+bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
07/11/2025,AUTO HALL,ATH,96.95,95.99,96.96,95.5,920,88393.19,17,4827771742.72
05/11/2025,AUTO HALL,ATH,97.5,95.5,97.5,95.5,68,6606.0,5,4803127424.0
04/11/2025,AUTO HALL,ATH,96.0,97.99,97.99,95.0,6430,613581.87,76,4928360798.72
03/11/2025,AUTO HALL,ATH,98.6,96.2,98.98,96.05,748,72729.23,25,4838333593.6
31/10/2025,AUTO HALL,ATH,97.89,96.0,97.89,96.0,8911,856074.41,40,4828274688.0
30/10/2025,AUTO HALL,ATH,97.99,97.9,98.0,95.55,753,73498.59,12,4923834291.2
29/10/2025,AUTO HALL,ATH,98.7,98.0,98.7,98.0,6,591.5,2,4928863744.0
28/10/2025,AUTO HALL,ATH,96.0,98.8,98.8,95.1,2419,236544.62,35,4969099366.4
27/10/2025,AUTO HALL,ATH,96.21,98.8,98.8,96.2,802,77960.44,13,4969099366.4
24/10/2025,AUTO HALL,ATH,97.5,98.9,98.9,96.6,1357,133410.9,14,4974128819.2
23/10/2025,AUTO HALL,ATH,98.94,97.5,98.94,97.5,9933,968708.3,16,4903716480.0
05/01/2026,AUTO HALL,ATH,95.0,95.49,95.49,94.0,785,74702.39,27,4802624478.72
02/01/2026,AUTO HALL,ATH,95.95,95.7,96.0,92.33,3138,300138.61,19,4813186329.6
31/12/2025,AUTO HALL,ATH,95.6,93.9,95.6,92.41,9384,881156.92,32,4722656179.2
30/12/2025,AUTO HALL,ATH,95.9,95.89,95.9,92.21,1139,108919.03,32,4822742289.92
29/12/2025,AUTO HALL,ATH,94.0,93.2,96.5,91.15,1057,97416.62,45,4687450009.6
26/12/2025,AUTO HALL,ATH,94.93,97.0,97.0,92.02,30547,2961319.23,64,4878569216.0
25/12/2025,AUTO HALL,ATH,93.0,92.99,94.49,92.0,35363,3288561.5,19,4676888158.72
24/12/2025,AUTO HALL,ATH,93.5,92.0,95.0,92.0,23328,2158570.91,46,4627096576.0
23/12/2025,AUTO HALL,ATH,93.95,93.94,93.95,91.01,10127,951253.48,33,4724667960.32
22/12/2025,AUTO HALL,ATH,93.0,93.5,93.5,91.0,4187,390427.98,31,4702538368.0
19/12/2025,AUTO HALL,ATH,93.0,90.0,94.9,90.0,20983,1914617.7,57,4526507520.0
18/12/2025,AUTO HALL,ATH,94.5,93.0,94.5,92.11,5473,509005.9,25,4677391104.0
17/12/2025,AUTO HALL,ATH,94.49,94.49,94.49,92.41,3842,360563.38,35,4752329950.72
16/12/2025,AUTO HALL,ATH,94.49,94.3,94.49,92.01,1805,169190.56,31,4742773990.4
15/12/2025,AUTO HALL,ATH,94.78,92.4,94.78,92.27,802,74343.55,20,4647214387.2
12/12/2025,AUTO HALL,ATH,92.21,94.69,94.7,92.21,18020,1679628.7,57,4762388856.32
11/12/2025,AUTO HALL,ATH,95.0,94.79,95.0,92.01,3134,295019.62,31,4767418309.12
10/12/2025,AUTO HALL,ATH,94.99,94.99,94.99,92.03,1058,100481.6,18,4777477214.72
09/12/2025,AUTO HALL,ATH,93.98,94.99,94.99,93.0,1137,107864.28,14,4777477214.72
25/09/2025,AUTO HALL,ATH,99.89,98.0,99.98,97.0,16685,1637132.31,32,4928863744.0
24/09/2025,AUTO HALL,ATH,97.98,99.99,99.99,96.05,8701,867982.31,31,5028949854.72
23/09/2025,AUTO HALL,ATH,97.0,96.0,99.0,96.0,40549,3895940.94,58,4828274688.0
22/09/2025,AUTO HALL,ATH,97.64,98.5,98.5,96.0,15440,1514395.51,60,4954011008.0
19/09/2025,AUTO HALL,ATH,97.46,97.64,99.0,97.46,316,30821.4,13,4910757713.92
18/09/2025,AUTO HALL,ATH,100.0,100.0,100.0,96.6,2671,264278.65,22,5029452800.0
17/09/2025,AUTO HALL,ATH,101.9,100.0,101.9,99.0,4189,418781.52,34,5029452800.0
16/09/2025,AUTO HALL,ATH,103.0,99.6,103.0,99.5,212,21262.0,8,5009334988.8
