Company,Séance,Instrument,Ticker,Ouverture,Dernier_Cours,haut_du_jour,bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
AFRIC INDUSTRIES SA,03/06/2026,AFRIC INDUSTRIES SA,AFI,356.5,357.7,357.7,350.0,103,36514.6,10,104269550.0
AFRIC INDUSTRIES SA,02/06/2026,AFRIC INDUSTRIES SA,AFI,360.0,360.0,360.0,360.0,300,108000.0,6,104940000.0
AFRIC INDUSTRIES SA,01/06/2026,AFRIC INDUSTRIES SA,AFI,356.9,356.9,358.0,347.0,198,70333.45,18,104036350.0
AFRIC INDUSTRIES SA,26/05/2026,AFRIC INDUSTRIES SA,AFI,358.0,356.0,358.0,347.0,248,86565.85,13,103774000.0
AFRIC INDUSTRIES SA,25/05/2026,AFRIC INDUSTRIES SA,AFI,349.0,360.0,360.0,347.0,93,33106.6,16,104940000.0
AFRIC INDUSTRIES SA,22/05/2026,AFRIC INDUSTRIES SA,AFI,344.0,347.0,347.9,344.0,158,54811.9,15,101150500.0
AFRIC INDUSTRIES SA,21/05/2026,AFRIC INDUSTRIES SA,AFI,348.0,346.1,348.0,346.0,33,11423.0,4,100888150.0
AFRIC INDUSTRIES SA,20/05/2026,AFRIC INDUSTRIES SA,AFI,348.0,347.5,348.0,345.0,79,27266.2,7,101296250.0
AFRIC INDUSTRIES SA,19/05/2026,AFRIC INDUSTRIES SA,AFI,346.0,348.0,348.0,346.0,22,7616.0,3,101442000.0
AFRIC INDUSTRIES SA,18/05/2026,AFRIC INDUSTRIES SA,AFI,345.0,348.0,348.0,345.0,114,39493.0,5,101442000.0
AFRIC INDUSTRIES SA,15/05/2026,AFRIC INDUSTRIES SA,AFI,341.15,341.5,345.0,341.0,43,14689.2,8,99547250.0
AFRIC INDUSTRIES SA,14/05/2026,AFRIC INDUSTRIES SA,AFI,341.0,344.0,344.0,341.0,50,17080.0,3,100276000.0
AFRIC INDUSTRIES SA,13/05/2026,AFRIC INDUSTRIES SA,AFI,350.0,343.0,350.0,340.2,198,67772.2,25,99984500.0
AFRIC INDUSTRIES SA,12/05/2026,AFRIC INDUSTRIES SA,AFI,-,349.95,-,-,-,-,-,102010425.0
AFRIC INDUSTRIES SA,11/05/2026,AFRIC INDUSTRIES SA,AFI,342.15,349.95,349.95,342.15,138,47681.2,18,102010425.0
AFRIC INDUSTRIES SA,08/05/2026,AFRIC INDUSTRIES SA,AFI,350.0,350.0,350.0,336.6,275,94260.3,32,102025000.0
AFRIC INDUSTRIES SA,07/05/2026,AFRIC INDUSTRIES SA,AFI,350.0,350.0,350.0,350.0,32,11200.0,5,102025000.0
