Company,Séance,Instrument,Ticker,Ouverture,Dernier_Cours,+haut_du_jour,+bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
AGMA,19/03/2026,AGMA,AGM,-,6840.0,-,-,-,-,-,1368000000.0
AGMA,18/03/2026,AGMA,AGM,-,6840.0,-,-,-,-,-,1368000000.0
AFRIQUIA GAZ,19/03/2026,AFRIQUIA GAZ,GAZ,3900.0,3900.0,3910.0,3900.0,26,101410.0,9,13406250000.0
AFRIQUIA GAZ,18/03/2026,AFRIQUIA GAZ,GAZ,3900.0,3900.0,3900.0,3850.0,172,667636.0,21,13406250000.0
AFMA,19/03/2026,AFMA,AFM,1289.0,1289.0,1289.0,1289.0,1,1289.0,1,1289000000.0
AFMA,18/03/2026,AFMA,AFM,-,1260.0,-,-,-,-,-,1260000000.0
AFRIC INDUSTRIES SA,19/03/2026,AFRIC INDUSTRIES SA,AFI,337.5,335.55,337.5,335.5,26,8728.0,4,97812825.0
AFRIC INDUSTRIES SA,18/03/2026,AFRIC INDUSTRIES SA,AFI,337.95,337.95,337.95,337.95,20,6759.0,2,98512425.0
AKDITAL,19/03/2026,AKDITAL,AKT,1110.0,1091.0,1110.0,1070.0,10851,11804307.0,172,15447694837.0
AKDITAL,18/03/2026,AKDITAL,AKT,1088.0,1101.0,1101.0,1066.0,5602,6092714.0,222,15589286907.0
ALLIANCES,19/03/2026,ALLIANCES,ADI,406.1,400.0,409.7,400.0,9527,3817933.25,144,8831435200.0
ALLIANCES,18/03/2026,ALLIANCES,ADI,408.9,415.5,415.5,400.0,38467,15830474.5,152,9173653314.0
ARADEI CAPITAL,19/03/2026,ARADEI CAPITAL,ARD,438.5,431.0,438.5,430.0,650,282988.5,29,5416864030.0
ARADEI CAPITAL,18/03/2026,ARADEI CAPITAL,ARD,438.9,435.0,438.9,435.0,45,19649.1,6,5467136550.0
ATLANTASANAD,19/03/2026,ATLANTASANAD,ATL,131.4,131.3,131.4,129.0,1021,134025.0,34,7915236023.5
ATLANTASANAD,18/03/2026,ATLANTASANAD,ATL,128.4,131.0,131.6,128.4,959,125379.75,28,7897150945.0
AUTO HALL,19/03/2026,AUTO HALL,ATH,79.0,80.68,80.68,78.0,125478,10122298.21,25,4057762519.04
AUTO HALL,18/03/2026,AUTO HALL,ATH,79.0,80.35,80.49,78.2,10891,862360.67,31,4041165324.8
AUTO NEJMA,19/03/2026,AUTO NEJMA,NEJ,-,4585.0,-,-,-,-,-,4691665440.0
AUTO NEJMA,18/03/2026,AUTO NEJMA,NEJ,-,4585.0,-,-,-,-,-,4691665440.0
BALIMA,19/03/2026,BALIMA,BAL,-,246.85,-,-,-,-,-,430506400.0
BALIMA,18/03/2026,BALIMA,BAL,-,246.85,-,-,-,-,-,430506400.0
BCP,19/03/2026,BCP,BCP,252.0,253.0,253.0,252.0,10212,2582156.8,41,51438055669.0
BCP,18/03/2026,BCP,BCP,250.9,252.0,253.0,250.9,21071,5309938.7,57,51234743196.0
BANK OF AFRICA,19/03/2026,BANK OF AFRICA,BOA,211.0,219.5,219.5,206.0,220929,47321323.9,85,48351872879.5
BANK OF AFRICA,18/03/2026,BANK OF AFRICA,BOA,213.0,219.0,219.0,206.7,122393,26291778.5,76,48241731939.0
BMCI,19/03/2026,BMCI,BCI,607.0,607.0,607.0,607.0,200,121400.0,4,8060526602.0
BMCI,18/03/2026,BMCI,BCI,595.0,610.0,610.0,595.0,310,188950.0,8,8100364460.0
CARTIER SAADA,19/03/2026,CARTIER SAADA,CRS,29.04,29.04,30.0,29.04,303,8800.08,7,152895600.0
CARTIER SAADA,18/03/2026,CARTIER SAADA,CRS,30.5,29.04,30.5,29.04,404,11806.96,6,152895600.0
ALUMINIUM DU MAROC,19/03/2026,ALUMINIUM DU MAROC,ALM,1683.0,1747.0,1747.0,1683.0,12,20900.0,3,814021638.0
ALUMINIUM DU MAROC,18/03/2026,ALUMINIUM DU MAROC,ALM,1748.0,1748.0,1748.0,1748.0,2,3496.0,2,814487592.0
CASH PLUS S.A,19/03/2026,CASH PLUS S.A,CAP,270.0,275.0,275.0,265.0,4913,1342643.7,100,6752099750.0
CASH PLUS S.A,18/03/2026,CASH PLUS S.A,CAP,255.3,274.0,274.0,255.3,13157,3547977.5,99,6727546660.0
CDM,19/03/2026,CDM,CDM,1037.0,1036.0,1037.0,1020.0,2101,2144387.0,13,11272937704.0
CDM,18/03/2026,CDM,CDM,1030.0,1039.0,1040.0,1030.0,365,377746.0,15,11305581346.0
