Company,Séance,Instrument,Ticker,Ouverture,Dernier_Cours,haut_du_jour,bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
AFMA,26/03/2026,AFMA,AFM,1114.0,1114.0,1114.0,1114.0,7393,8235802.0,18,1114000000.0
AFMA,25/03/2026,AFMA,AFM,1185.0,1185.0,1185.0,1185.0,63,74655.0,3,1185000000.0
AFMA,24/03/2026,AFMA,AFM,1260.0,1260.0,1260.0,1260.0,2,2520.0,1,1260000000.0
AFRIQUIA GAZ,09/04/2026,AFRIQUIA GAZ,GAZ,3750.0,3750.0,3750.0,3714.0,319,1195823.0,17,12890625000.0
AFRIQUIA GAZ,08/04/2026,AFRIQUIA GAZ,GAZ,3870.0,3750.0,3870.0,3750.0,317,1196460.0,47,12890625000.0
AFRIQUIA GAZ,07/04/2026,AFRIQUIA GAZ,GAZ,3700.0,3790.0,3790.0,3700.0,18,67390.0,8,13028125000.0
AFRIQUIA GAZ,06/04/2026,AFRIQUIA GAZ,GAZ,3700.0,3700.0,3700.0,3651.0,203,749673.0,44,12718750000.0
AFRIQUIA GAZ,03/04/2026,AFRIQUIA GAZ,GAZ,3750.0,3700.0,3750.0,3700.0,521,1929893.0,67,12718750000.0
AFRIQUIA GAZ,02/04/2026,AFRIQUIA GAZ,GAZ,3750.0,3720.0,3750.0,3720.0,19,70912.0,10,12787500000.0
AFRIQUIA GAZ,01/04/2026,AFRIQUIA GAZ,GAZ,3800.0,3750.0,3800.0,3750.0,117,440843.0,30,12890625000.0
AFRIQUIA GAZ,31/03/2026,AFRIQUIA GAZ,GAZ,3750.0,3777.0,3895.0,3750.0,3902,14750040.0,21,12983437500.0
AFRIQUIA GAZ,30/03/2026,AFRIQUIA GAZ,GAZ,3800.0,3750.0,3800.0,3750.0,7,26498.0,5,12890625000.0
AFRIQUIA GAZ,27/03/2026,AFRIQUIA GAZ,GAZ,3806.0,3700.0,3806.0,3700.0,1007,3726637.0,42,12718750000.0
AFRIQUIA GAZ,26/03/2026,AFRIQUIA GAZ,GAZ,3881.0,3800.0,3881.0,3800.0,234,890343.0,36,13062500000.0
